"Publication Year","Author","Title","Subgenre","Page Count",,"Total Authors:",300
2003,"Hiroshi Yamamoto","God Never Keeps Silent","Information Theory / Mathematics",450,,,
2003,"Hiroshi Yamamoto","The Stories of Ibis","Robotic/AI Hard SF",496,,,
2003,"Ian Douglas","Battlespace","Hard Military SF",416,,,
2003,"Jack McDevitt","Omega","Megastructures / First Contact",448,,,
2003,"Justina Robson","Natural History","Cybernetics / Post-Humanism",352,,,
2003,"Kim Stanley Robinson","The Years of Rice and Salt","Bantam Spectra MMPB / Hard Alternate History",784,,,
2003,"L.E. Modesitt Jr.","The Ethos Effect","Sociobiology / Ethics",528,,,
2003,"Michael Flynn","The Wreck of The River of Stars","Relativistic SF / Engineering",448,,,
2003,"Michael Flynn","The Wreck of The River of Stars","Relativistic SF / Engineering",448,,,
2003,"Michael Swanwick","Bones of the Earth","Paleontology / Temporal Mechanics",384,,,
2003,"Neal Asher","The Skinner","Xenobiology / Biopunk",448,,,
2003,"Richard K. Morgan","Broken Angels","Hard Space Opera / Xenobiology",480,,,
2003,"Robert Charles Wilson","Blind Lake","Xenobiology / First Contact",399,,,
2003,"Robert J. Sawyer","Humans","Anthropology / Genetics",400,,,
2003,"Robert J. Sawyer","Hybrids","Anthropology / Genetics",400,,,
2003,"Sayuri Ueda","Mars Dark Ballade","Planetary Science / Geophysics",320,,,
2003,"Stephen Baxter","Coalescent","Social Science Hard SF / Biology",450,,,
2004,"Adam Roberts","The Snow","Climatology / Geophysics",384,,,
2004,"Alastair Reynolds","Century Rain","Alternate History / Near-Future",512,,,
2004,"Alastair Reynolds","Absolution Gap","Ace MMPB / Hard Space Opera",560,,,
2004,"Allen Steele","Coyote Rising","Planetary Engineering / Biology",416,,,
2004,"Ben Bova","The Silent War","Asteroid Mining / Space Industry",448,,,
2004,"C.J. Cherryh","Forge of Heaven","Planetary Engineering / Astrophysics",432,,,
2004,"Charles Sheffield","The Web Between the Worlds","Baen MMPB / Space Elevator Engineering",352,,,
2004,"Charles Stross","Iron Sunrise","Hard Space Opera",480,,,
2004,"David Sherman","On Target","Ballistics / Materials Science",336,,,
2004,"Elizabeth Moon","Marque and Reprisal","Logistics / Orbital Mechanics",352,,,
2004,"Frank Schatzing","The Swarm","Marine Biology / Geophysics",880,,,
2004,"Greg Bear","Dead Lines","Quantum Physics SF",384,,,
2004,"Hiroshi Sakurazaka","All You Need Is Kill","Hard Military SF / Time Loops",200,,,
2004,"Ian Douglas","Marine Archer","Hard Military SF",416,,,
2004,"Ian Watson","The Mocking Program","Cybernetics / Psychology",320,,,
2004,"Jack McDevitt","Polaris","Forensic Engineering / Information Theory",384,,,
2004,"John Varley","Red Thunder","Ace MMPB / Aerospace Engineering",416,,,
2004,"Ken MacLeod","Newton's Wake","Singularity / Relativistic SF",352,,,
2004,"Kim Stanley Robinson","Forty Signs of Rain","Climate Fiction (Cli-Fi)",400,,,
2004,"Liu Cixin","Ball Lightning","Quantum Physics / Weaponry",384,,,
2004,"Nancy Kress","Crucible","Xenobiology / First Contact",432,,,
2004,"Neal Asher","The Line of Polity","Xenobiology / AI",464,,,
2004,"Peter Watts","Behemoth: B-Max","Marine Biology / Biopunk",304,,,
2004,"Peter Watts","Behemoth: Seppuku","Marine Biology / Biopunk",320,,,
2004,"Richard K. Morgan","Market Forces","Economic Hard SF / Near-Future",400,,,
2004,"Sayuri Ueda","The Cage of Zeus","Xenobiology / Evolutionary SF",400,,,
2004,"Stephen Baxter","Mayflower II","Generation Ships / Biology",120,,,
2004,"Stephen Baxter","Exultant","Relativistic SF / Physics",528,,,
2004,"Wil McCarthy","Lost in Transmission","Interstellar Travel / Nanotech",352,,,
2005,"Alastair Reynolds","Pushing Ice","Relativistic SF / First Contact",512,,,
2005,"Allen Steele","Coyote Frontier","Planetary Engineering / Ecology",400,,,
2005,"Andreas Eschbach","The Carpet Makers","Tor MMPB / Xenobiology",320,,,
2005,"Arthur C. Clarke, Stephen Baxter","Sunstorm","Solar Physics / Astrophysics",352,,,
2005,"Arthur C. Clarke, Stephen Baxter","Time's Eye","Del Rey MMPB / Hard Time Travel",384,,,
2005,"Ben Bova","Mercury","Planetary Science / Solar Physics",384,,,
2005,"Ben Bova","Powersat","Solar Power / Near-Future Engineering",448,,,
2005,"Catherine Asaro","Schismatrix Plus (Technical Updates)","Information Theory / Cybernetics",320,,,
2005,"Charles Stross","Accelerando","Singularity / Economics (Hard)",416,,,
2005,"Cory Doctorow","Someone Comes to Town...","Information Theory / Networking",320,,,
2005,"David Sherman, Dan Cragg","Starfist: Lazarus Rising","Ballistics / Logistics",352,,,
2005,"Jack McDevitt","Seeker","Astro-Archaeology / Physics",384,,,
2005,"Jack McDevitt","Odyssey","First Contact / Near-Future",416,,,
2005,"John Ringo, Travis Taylor","Into the Looking Glass","Plasma Physics / Quantum Mechanics",400,,,
2005,"John Scalzi","Old Man's War","Hard Military SF / Relativistic SF",320,,,
2005,"Karen Traviss","City of Pearl","Exobiology / Resource Economics",448,,,
2005,"Karl Schroeder","Lady of Mazes","Neuroscience / Information Theory",448,,,
2005,"Karl Schroeder","Lady of Mazes","Sociopolitical Information Theory",400,,,
2005,"Ken MacLeod","Learning the World","First Contact / Space Industry",352,,,
2005,"Kim Stanley Robinson","Fifty Degrees Below","Climate Fiction (Cli-Fi)",624,,,
2005,"Linda Nagata","Memory","Nanotechnology / Post-Apocalyptic (Hard)",416,,,
2005,"Michael Crichton","State of Fear","Climate Fiction (Cli-Fi)",608,,,
2005,"Michael Z. Williamson","Freehold","Hard Military SF / Space Colonization",672,,,
2005,"Neal Asher","Cowl","Hard Time Travel",432,,,
2005,"Paul McAuley","Mind's Eye","Near-Future Extrapolation",448,,,
2005,"Peter Cawdron","Anomaly","Astrobiology / First Contact",268,,,
2005,"Peter F. Hamilton","Pandora's Star","Del Rey MMPB / Hard Space Opera",992,,,
2005,"Richard K. Morgan","Woken Furies","Cyberpunk / Digital Consciousness",608,,,
2005,"Robert Charles Wilson","Spin","Relativistic SF / Megastructures",464,,,
2005,"Robert J. Sawyer","Mindscan","Neurobiology / Digital Consciousness",300,,,
2005,"Sayuri Ueda","La Pâtisserie (Hard Variant)","Social Science Hard SF",300,,,
2005,"Stephen Baxter","Transcendent","Cosmology / Post-Humanism",450,,,
2005,"Travis S. Taylor","The Warp String","Plasma Physics / Interstellar Travel",352,,,
2005,"Wil McCarthy","To Crush the Moon","Megastructures / Terraforming",352,,,
2006,"Adam Roberts","Gradisil","Aerospace Engineering / Orbital Mechanics",448,,,
2006,"Alastair Reynolds","Galactic North","Relativistic SF / Deep Time",352,,,
2006,"Allen Steele","Spindrift","Astrobiology / First Contact",352,,,
2006,"Ben Bova","The Green Trap","Biopunk / Environmental Hard SF",320,,,
2006,"Ben Bova","Titan","Planetary Science / Astrobiology",448,,,
2006,"Charles Stross","Glasshouse","Digital Consciousness / Brain Uploading",352,,,
2006,"David Sherman, Dan Cragg","Starfist: A World of Hurt","Ballistics / Logistics",368,,,
2006,"Elizabeth Moon","Engaging the Enemy","Tactical Hard SF / Communications",400,,,
2006,"Hiroyuki Morioka","Banner of the Stars","TokyoPop MMPB / Relativistic SF",280,,,
2006,"Hiroyuki Morioka","Crest of the Stars","TokyoPop MMPB / Linguistics / Physics",288,,,
2006,"Jack Campbell","The Lost Fleet: Dauntless","Relativistic Tactics / Fleet Maneuvers",304,,,
2006,"Joel Shepherd","Crossover","Cybernetics / AI Engineering",464,,,
2006,"John Ringo, Travis S. Taylor","Von Neumann's War","Von Neumann Probes / Nanotechnology",480,,,
2006,"John Scalzi","The Ghost Brigades","Hard Military SF / Uplift",320,,,
2006,"John Varley","Red Lightning","Planetary Engineering / Physics",352,,,
2006,"Karl Schroeder","Sun of Suns","Fluid Dynamics / Gravity Engineering",352,,,
2006,"Michael Crichton","Next","Genetic Engineering / Medical Hard SF",528,,,
2006,"Michael Flynn","Eifelheim","Theoretical Physics / First Contact",320,,,
2006,"Neal Asher","Prador Moon","First Contact / Hard Military SF",220,,,
2006,"Peter Watts","Blindsight","Neurology / First Contact / Xenobiology",384,,,
2006,"Stephen Baxter","Resplendent","Deep Time / Astrophysics",450,,,
2006,"Vernor Vinge","Rainbows End","Neurobiology / Augmented Reality",384,,,
2006,"Yoss","A Planet for Rent","Social Science Hard SF / First Contact",272,,,
2007,"Adam Roberts","Splinter","Seismology / Physics",304,,,
2007,"Adam Roberts","Land of the Headless","Cybernetics / Information Theory",320,,,
2007,"Alastair Reynolds","The Prefect","AI / Space Industry",512,,,
2007,"Arthur C. Clarke, Stephen Baxter","Firstborn","First Contact / Megastructures",368,,,
2007,"Ben Bova","The Aftermath","Astrophysics / Solar System",448,,,
2007,"Brenda Cooper","The Silver Ship and the Sea","Aerospace Engineering / Genetic Engineering",352,,,
2007,"Hiroshi Yamamoto","MM9: Monster Magnitude","Paramilitary Procedural / Biology",380,,,
2007,"Ian Douglas","Bloodline","Hard Military SF / Relativistic SF",416,,,
2007,"Ian McDonald","Brasyl","Quantum Physics / Cyberpunk",368,,,
2007,"Issui Ogawa","The Next Continent","Planetary Science / Moon Colonization",340,,,
2007,"Jack Campbell","The Lost Fleet: Fearless","Orbital Mechanics / Kinetic Weapons",304,,,
2007,"John Scalzi","The Last Colony","Space Colonization / Military SF",336,,,
2007,"Karl Schroeder","Queen of Candesce","Fluid Dynamics / Atmospheric Physics",350,,,
2007,"Kathleen Ann Goonan","In War Times","Theoretical Physics / Engineering",352,,,
2007,"Kim Stanley Robinson","Sixty Days and Counting","Climate Fiction (Cli-Fi)",528,,,
2007,"Madeline Ashby","vN","Robotic Hard SF / Von Neumann Probes",320,,,
2007,"Nancy Kress","After the Fall, Before the Fall, During the Fall","Cli-Fi / Hard Time Travel",192,,,
2007,"Paul McAuley","Players","Near-Future Extrapolation",480,,,
2007,"Peter F. Hamilton","Judas Unchained","Del Rey MMPB / Hard Space Opera",1008,,,
2007,"Project Itoh","Genocidal Organ","Neurobiology / Information Theory",360,,,
2007,"Richard K. Morgan","Black Man (Thirteen)","Genetic Engineering / Biopunk",608,,,
2007,"Robert Charles Wilson","Axis","Planetary Romance (Hard) / Terraforming",304,,,
2007,"Robert J. Sawyer","Rollback","Longevity / Astrophysics",350,,,
2007,"Travis S. Taylor","One Day on Mars","Hard Military SF / Space Industry",416,,,
2007,"Vandana Singh","Of Love and Other Monsters","Neurobiology / Information Theory",100,,,
2008,"Adam Roberts","Swiftly","Atmospheric Physics / Biology",304,,,
2008,"Alastair Reynolds","House of Suns","Relativistic SF / Megastructures",512,,,
2008,"Allen Steele","Galaxy Blues","Astrophysics / Xenobiology",336,,,
2008,"Arthur C. Clarke, Frederik Pohl","The Last Theorem","Quantum Physics / First Contact",320,,,
2008,"Ben Bova","Mars Life","Astrobiology / Planetary Science",448,,,
2008,"Brenda Cooper","The Silver Ship and the Sea","Bio-engineering / Ecology",320,,,
2008,"C.J. Cherryh","Regenesis","Biopunk / Genetic Engineering",640,,,
2008,"Charles Stross","Saturn's Children","Robotic/AI Hard SF",336,,,
2008,"Elizabeth Moon","Victory Conditions","Hard Military SF",496,,,
2008,"Greg Bear","City at the End of Time","Cosmology / Physics SF",480,,,
2008,"Greg Egan","Incandescence","General Relativity / Astrophysics",300,,,
2008,"Ian Douglas","Star Strike","Hard Military SF",416,,,
2008,"Jack Campbell","The Lost Fleet: Courageous","Relativistic Combat / Physics",304,,,
2008,"Jeffrey A. Carver","Sunborn","Solar Physics / Theoretical Physics",448,,,
2008,"John Varley","Rolling Thunder","Orbital Mechanics / Geophysics",352,,,
2008,"Karl Schroeder","Pirate Sun","Fluid Dynamics / Orbital Mechanics",350,,,
2008,"Ken MacLeod","The Night Sessions","Robotic/AI Hard SF",352,,,
2008,"Liu Cixin","The Three-Body Problem","Quantum Physics / Orbital Mechanics",400,,,
2008,"Liu Cixin","The Dark Forest","Sociological Hard SF / Game Theory",512,,,
2008,"Michael Brotherton","Spider Star","Astrobiology / Astrophysics",380,,,
2008,"Neal Stephenson","Anathem","Quantum Physics / Relativistic SF",981,,,
2008,"Paul McAuley","The Quiet War","Solar System Exploration / Biopunk",528,,,
2008,"Peter F. Hamilton","The Dreaming Void","Del Rey MMPB / Hard Space Opera",704,,,
2008,"Peter F. Hamilton","The Temporal Void","Hard Space Opera / Singularity",752,,,
2008,"Project Itoh","Harmony","Neurobiology / Biopunk",320,,,
2008,"Sayuri Ueda","The Afterglow of the Beautiful Moon","Planetary Science / Near-Future",350,,,
2008,"Stephen Baxter","Flood","Climate Fiction / Hydrodynamics",500,,,
2008,"Travis S. Taylor","The Quantum Connection","Quantum Physics / Military SF",416,,,
2008,"Vandana Singh","The Woman Who Thought She Was a Planet","Physics SF / Ecology",220,,,
2008,"Vandana Singh","Distances","Higher-Dimensional Mathematics/Sociology",158,,,
2009,"Adam Roberts","Yellow Blue Tibia","Theoretical Physics / Information Theory",320,,,
2009,"Ben Bova","The Return","Astrobiology / Relativistic SF",384,,,
2009,"Ben Bova","The Immortality Factor","Biological Hard SF / Longevity",400,,,
2009,"Brenda Cooper","Reading the Wind","Bio-engineering / Cybernetics",352,,,
2009,"Daniel Suarez","Daemon","Robotic/AI Hard SF",640,,,
2009,"David Weber","Mission of Honor","Hard Military SF",736,,,
2009,"Frank Schatzing","Limit","Lunar Geology / Orbital Mechanics",1200,,,
2009,"Hannu Rajaniemi","The Quantum Thief","Quantum Cryptography / Memory Theory",336,,,
2009,"Ian Douglas","Singularity","Singularity / Hard Military SF",448,,,
2009,"Issui Ogawa","The Lord of the Sands of Time","Physics SF / Chronology",216,,,
2009,"Karl Schroeder","The Sunless Countries","Fluid Dynamics / Engineering",350,,,
2009,"Kim Stanley Robinson","Galileo's Dream","Quantum Physics / Hard Alternate History",640,,,
2009,"Kristine Kathryn Rusch","Diving into the Wreck","Salvage Physics / Materials Science",258,,,
2009,"Michael Crichton","Pirate Latitudes","Hard Alternate History",400,,,
2009,"Michael Lanza","The Healthcare Cure","Biological Hard SF / Longevity",300,,,
2009,"Paolo Bacigalupi","The Windup Girl","Resource Economics / Bio-Engineering",384,,,
2009,"Paul McAuley","Gardens of the Sun","Space Industry / Solar System",496,,,
2009,"Robert J. Sawyer","Wake","Information Theory / AI",350,,,
2009,"Stephen Baxter","Ark","Space Industry / Generation Ships",500,,,
2009,"Taiyo Fujii","Gene Mapper","Genetic Engineering / Biopunk",384,,,
2010,"Adam Roberts","New Model Army","Cybernetics / Information Theory",304,,,
2010,"Alastair Reynolds","Terminal World","Planetary Science / Post-Human",512,,,
2010,"B.V. Larson","Swarm","Robotic/AI Hard SF",402,,,
2010,"Ben Bova","Able One","Hard Military SF / Laser Physics",350,,,
2010,"Brenda Cooper","Wings of Creation","Astrobiology / Physics",336,,,
2010,"Daniel Suarez","Freedom (TM)","Robotic/AI Hard SF",416,,,
2010,"Dexter Palmer","The Dream of Perpetual Motion","Cybernetics / Mechanical Engineering",352,,,
2010,"Gareth L. Powell","The Recollection","Hard Space Opera / Interstellar",448,,,
2010,"Geoffrey A. Landis","The Sultan of the Clouds","Venusian Atmospheric Science",110,,,
2010,"Greg Bear","Hull Zero Three","Generation Ships / Genetics",448,,,
2010,"Greg Egan","Zendegi","Neuroscience / Virtual Reality",300,,,
2010,"Hannu Rajaniemi","The Quantum Thief","Quantum Physics / Post-Human",336,,,
2010,"Hiroshi Yamamoto","Last Year Should Be a Good Year","Quantum Physics / Time Travel",320,,,
2010,"Hiroshi Yamamoto","The Stories of Ibis","VIZ Media MMPB / Robotic Hard SF",496,,,
2010,"Jack Campbell","The Lost Fleet: Victorious","Astrography / Deep Space Tactical",352,,,
2010,"Jack McDevitt, Michael Fedor","The Cassandra Project","Aerospace Engineering / Lunar Science",320,,,
2010,"James S.A. Corey","Leviathan Wakes","Orbital Mechanics / Near-Future Physics",592,,,
2010,"Jon Armstrong","Yarn","Nanotechnology / Materials Science",320,,,
2010,"Liu Cixin","Death's End","Cosmology / Relativistic SF",608,,,
2010,"Lois McMaster Bujold","Cryoburn","Cryonics / Medical Hard SF",352,,,
2010,"Pavel Amnuel","The Man Who Liked the Fourth Dimension","Physics / Mathematics",280,,,
2010,"Peter F. Hamilton","The Evolutionary Void","Hard Space Opera / Singularity",704,,,
2010,"Robert J. Sawyer","Watch","Information Theory / AI",350,,,
2010,"Sayuri Ueda","The Ocean Chronicles (Karyu no Miya)","Xenobiology / Marine Biology",600,,,
2011,"Adam Roberts","By Light Alone","Biological Engineering / Physics",400,,,
2011,"Allen Steele","Apollo's Outcasts","Lunar Engineering / Physics",336,,,
2011,"Andreas Christensen","Exodus","Planetary Science / Physics",289,,,
2011,"Andy Weir","The Martian","Near-Future Survival / Engineering",369,,,
2011,"B.V. Larson","Extinction","Hard Military SF / First Contact",410,,,
2011,"Ben Bova","Power Play","Energy Industry / Political Hard SF",384,,,
2011,"Ben Bova","Leviathans of Jupiter","Atmospheric Physics / Astrobiology",432,,,
2011,"Blake Crouch","Run","Near-Future Extrapolation",320,,,
2011,"Chris Beckett","The Holy Machine","Cybernetics / Robotics",304,,,
2011,"Ctein, John Varley","Slow Apocalypse","Microbiology / Civil Engineering",368,,,
2011,"Daniel H. Wilson","Robopocalypse","Robotic Hard SF / AI",352,,,
2011,"David Nordley","To Orbit and Beyond","Aerospace Engineering / Orbital Mechanics",320,,,
2011,"Eliot Peper","Uncommon Stock: Version 1.0","Information Theory / Cryptography",230,,,
2011,"Greg Bear","Halo: Cryptum","Astrobiology / Megastructures",352,,,
2011,"Greg Egan","The Clockwork Rocket","Alternative Physics / Mathematics",290,,,
2011,"H.G. Stratmann","Aleph-Null","Medical Sociology/Bioethics",320,,,
2011,"Ian Douglas","Center of Gravity","Hard Military SF / Space Industry",416,,,
2011,"Jonathan Vos Post","The Future of Medicine","Bio-engineering / Nanotechnology",300,,,
2011,"Kristine Kathryn Rusch","City of Ruins","Archaeological Physics / Engineering",320,,,
2011,"Michael Crichton, Richard Preston","Micro","Nanotechnology / Biological Hard SF",544,,,
2011,"Neal Asher","The Departure","Near-Future / Space Industry",512,,,
2011,"Neal Stephenson","Reamde","Cybersecurity / Near-Future",1056,,,
2011,"Nick Harkaway","Angelmaker","Mechanical Engineering / Clockwork / Physics",496,,,
2011,"Paul McAuley","In the Mouth of the Whale","Interstellar Travel / Post-Human",448,,,
2011,"Peter Cawdron","The Road to Hell","Post-Apocalyptic / Thriller",342,,,
2011,"Peter Cawdron","Anomaly","First Contact / Astrophysics",382,,,
2011,"Peter Watts","Crysis: Escalation","Nanotechnology / Military SF",304,,,
2011,"Ramez Naam","Nexus","Neurobiology / Nanotechnology",432,,,
2011,"Robert Charles Wilson","Vortex","Relativistic SF / Megastructures",400,,,
2011,"Robert J. Sawyer","Wonder","Information Theory / AI",350,,,
2011,"Sandra McDonald","The Stars Blue and Sharp","Orbital Mechanics / Physics",320,,,
2011,"T.C. McCarthy","Germline","Genetics / Military Engineering",368,,,
2011,"Taiyo Fujii","Gene Mapper - Core -","Genetic Engineering / Information Theory",380,,,
2011,"Vandana Singh","Distances","Astrobiology / Mathematics",120,,,
2011,"Vernor Vinge","The Children of the Sky","Uplift / Singularity",448,,,
2012,"Adam Roberts","Jack Glass","Orbital Mechanics / Physics",384,,,
2012,"Alastair Reynolds","Merlin's Gun","Relativistic SF / Deep Time",110,,,
2012,"Alastair Reynolds","Blue Remembered Earth","Planetary Science / Space Industry",512,,,
2012,"Andreas Christensen","Exodus: Ark","Astrobiology / Aerospace Engineering",304,,,
2012,"Ben Bova","The Orion Deception","Cybernetics / AI / Military SF",384,,,
2012,"Brenda Cooper","The Creative Fire","Engineering / Physics",336,,,
2012,"Charles Stross","The Rapture of the Nerds","Singularity / Digital Consciousness",352,,,
2012,"Chris Beckett","Dark Eden","Xenobiology / Evolutionary Theory",448,,,
2012,"Daniel H. Wilson","Amped","Uplift / Medical Hard SF",352,,,
2012,"Daniel Suarez","Kill Decision","Robotic Hard SF / Swarm Intelligence",512,,,
2012,"G. Willow Wilson","Alif the Unseen","Information Theory / Cybersecurity",448,,,
2012,"Greg Bear","Halo: Primordium","Astrobiology / Megastructures",384,,,
2012,"Greg Egan","The Eternal Flame","Alternative Physics / Thermodynamics",400,,,
2012,"Hannu Rajaniemi","The Fractal Prince","Quantum Physics / Singularity",320,,,
2012,"Ian Douglas","Deep Space","Hard Military SF / Relativistic SF",448,,,
2012,"James S.A. Corey","Caliban's War","Biopunk / First Contact",624,,,
2012,"John Scalzi","Redshirts","Quantum Physics SF (Variant)",320,,,
2012,"John Varley","Rolling Thunder","Solar System Exploration",368,,,
2012,"Karl Schroeder","Ashes of Candesce","Fluid Dynamics / Physics SF",380,,,
2012,"Ken MacLeod","Intrusion","Medical/Biological Hard SF",384,,,
2012,"Kim Stanley Robinson",2312,"Solar System / Terraforming",576,,,
2012,"Kristine Kathryn Rusch","Boneyards","Forensic Engineering / Astrophysics",320,,,
2012,"Michał Heller","Philosophy of Chance (Hard Variant)","Cosmology / Physics SF",280,,,
2012,"Neal Asher","The Zero Point","Quantum Physics / AI",512,,,
2012,"Paul McAuley","Evening's Empires","Solar System Exploration",496,,,
2012,"Peter Cawdron","Trixie & Me","Xenobiology / First Contact",116,,,
2012,"Peter Cawdron","Monsters","Near-Future / Thriller",288,,,
2012,"Peter Cawdron","Serengeti","Space Industry / AI",294,,,
2012,"Peter Cawdron","Savannah","Space Industry / AI",310,,,
2012,"Peter Cawdron","War","Space Industry / AI",320,,,
2012,"Peter Cawdron","Anomaly","Astrobiology / First Contact",340,,,
2012,"Peter Cawdron","Galactic Exploration","Xenobiology / Space Industry",364,,,
2012,"Project Itoh, Toh EnJoe","The Empire of Corpses","Biological Hard SF / Alternate History",352,,,
2012,"Robert J. Sawyer","Triggers","Neurobiology / Near-Future",350,,,
2012,"Shane Carruth","A Topiary (Script/Project)","Theoretical Physics / Mathematics",250,,,
2012,"Stephen Baxter","The Wheel of Ice","Planetary Science / Saturn",300,,,
2012,"T.C. McCarthy","Exoskeleton","Cybernetics / Neuroscience",352,,,
2013,"Alastair Reynolds","Harvest of Time","Physics SF / Time Dilation",336,,,
2013,"Alastair Reynolds","On the Steel Breeze","Generation Ships / Relativistic SF",496,,,
2013,"Andreas Christensen","Aurora","Planetary Science / Astrobiology",310,,,
2013,"Andreas Christensen","Exodus: The Oncoming Storm","Planetary Science / Physics",320,,,
2013,"Ann Leckie","Ancillary Justice","Robotic/AI Hard SF",448,,,
2013,"Ben Bova","Farside","Lunar Astronomy / Engineering",352,,,
2013,"Ben Bova","New Earth","Exoplanets / Astrobiology",384,,,
2013,"Ben Bova","Mars, Inc.","Space Industry / Economics (Hard)",400,,,
2013,"Brenda Cooper","The Diamond Deep","Engineering / Physics",352,,,
2013,"Charles Stross","Neptune's Brood","Space Industry / Robotic Hard SF",352,,,
2013,"Clyde Desouza","Memories with Maya","Cybernetics / Augmented Reality",320,,,
2013,"Dan Krokos","The Planet Thieves","Orbital Mechanics / Physics",256,,,
2013,"Dmitry Glukhovsky","Metro 2033","Ballistics / Survivalism",458,,,
2013,"Greg Bear","Halo: Silentium","Astrobiology / Megastructures",352,,,
2013,"Greg Egan","The Arrows of Time","Alternative Physics / Cosmology",330,,,
2013,"Ian Douglas","Dark Matter","Quantum Physics / Hard Military SF",464,,,
2013,"Jack McDevitt","Starhawk","Interstellar Travel / Space Industry",384,,,
2013,"James S.A. Corey","Abaddon's Gate","Megastructures / First Contact",539,,,
2013,"John Scalzi","The Human Division","Hard Military SF",432,,,
2013,"Karen Lord","The Best of All Possible Worlds","Xenobiology / Sociology",336,,,
2013,"L.E. Modesitt Jr.","The One-Eyed Man","Planetary Science / Ecology",416,,,
2013,"Linda Nagata","The Red: First Light","Robotic/AI Hard SF",448,,,
2013,"Lois McMaster Bujold","Captain Vorpatril's Alliance","Baen MMPB / Near-Future Extrapolation",432,,,
2013,"Marko Kloos","Terms of Enlistment","Ballistics / Near-Future Military",350,,,
2013,"Michael Brotherton","Star Dragon","Astrophysics / Plasma Physics",352,,,
2013,"Nathan Lowell","Quarter Share","Economics / Orbital Logistics",224,,,
2013,"Nathaniel Rich","Odds Against Tomorrow","Mathematics / Actuarial Science",320,,,
2013,"Peter Cawdron","Shadows","Silo Saga Universe / Dystopian",244,,,
2013,"Peter Cawdron","Xenophobia","Astrobiology / Physics",320,,,
2013,"Peter Cawdron","Little Green Men","First Contact / Signal Processing",340,,,
2013,"Peter Cawdron","Xenophobia","First Contact / Xenobiology",394,,,
2013,"Ramez Naam","Nexus","Neurobiology / Nanotechnology",432,,,
2013,"Richard Garfinkle","All of an Instant","Theoretical Physics / Temporal Mechanics",384,,,
2013,"Robert J. Sawyer","Red Planet Blues","Planetary Science / Near-Future",350,,,
2013,"Stephen Baxter","Proxima","Relativistic SF / Exoplanets",450,,,
2013,"T.C. McCarthy","Chimera","Genetics / Bio-engineering",400,,,
2013,"Thomas Olde Heuvelt","HEX","Information Theory / Sociology",384,,,
2014,"Andreas Christensen","Exodus: Mercury's Shadow","Orbital Mechanics / Astrophysics",310,,,
2014,"Andreas Christensen","Genesis","Exopaleontology / Physics",320,,,
2014,"Andy Weir","The Martian","Planetary Science / Mechanical Engineering",369,,,
2014,"B.V. Larson","Dust World","Geophysics / Ballistics",380,,,
2014,"Becky Chambers","The Long Way to a Small, Angry Planet","Xenobiology / Space Industry",464,,,
2014,"Ben Bova","Transhuman","Biological Hard SF / Genetic Engineering",352,,,
2014,"Ben Bova, Les Johnson","Rescue Mode","Planetary Science / NASA Engineering",384,,,
2014,"Dan Krokos","The Star Mutiny","Ballistics / Physics",304,,,
2014,"Daniel H. Wilson","Robogenesis","Robotic/AI Hard SF",384,,,
2014,"Daniel Suarez","Influx","Quantum Physics / Near-Future",528,,,
2014,"Dilman Dila","A Killing in the Sun","Near-Future / Engineering",250,,,
2014,"Douglas Beason, Kevin J. Anderson","The Winds of Altair","Astrobiology / Planetary Engineering",300,,,
2014,"Eliot Peper","The Uplift","Cybernetics / Information Theory",280,,,
2014,"G.S. Jennsen","Starshine","Astrophysics / Cybernetics",386,,,
2014,"G.S. Jennsen","Vertigo","Physics / Information Theory",412,,,
2014,"Genevieve Valentine","The Girls at the Kingfisher Club","Social Science Hard SF / History",288,,,
2014,"Greg Bear","War Dogs","Hard Military SF / Mars",320,,,
2014,"Hannu Rajaniemi","The Causal Angel","Quantum Physics / Post-Human",304,,,
2014,"Huw Steer","The Engines of Remembrance","Cybernetics / Information Theory",320,,,
2014,"James S.A. Corey","Cibola Burn","Space Colonization / Xenobiology",624,,,
2014,"Jeff VanderMeer","Annihilation","Ecology / Biology",208,,,
2014,"John E. Stith","Pushback","Physics / Mechanical Engineering",312,,,
2014,"Jon Wallace","Barricade","Cybernetics / Information Theory",336,,,
2014,"Joshua Dalzelle","Warship","Hard Military SF / Space Industry",332,,,
2014,"Karen Lord","The Galaxy Game","Cybernetics / Information Theory",336,,,
2014,"Karl Schroeder","Lockstep","Relativistic SF / Economics / Logistics",352,,,
2014,"Kristine Kathryn Rusch","The Application of Hope","Relativistic SF / Forensics",300,,,
2014,"Linda Nagata","The Trials","Robotic/AI Hard SF / Near-Future",432,,,
2014,"Liu Cixin","The Three-Body Problem","Quantum Physics / First Contact",400,,,
2014,"Marko Kloos","Lines of Departure","Orbital Mechanics / Logistics",336,,,
2014,"Nathan Lowell","Half Share","Economics / Engineering",250,,,
2014,"Nathan Lowell","Full Share","Space Station Engineering / Physics",280,,,
2014,"Nick Kyme","The Dragon Beneath","Geophysics / Materials Science",416,,,
2014,"Peter Cawdron","Feedback","Temporal Mechanics / Quantum Physics",300,,,
2014,"Peter Cawdron","My Sweet Satan","Deep Space / Psych-Hard SF",350,,,
2014,"Peter Cawdron","Feedback","Quantum Physics / First Contact",368,,,
